type;src;title;date;description;
img;photos/ReactionPic.webp;Mia reazione quando: la gente;21 marzo 2025;E niente, questa si commenta da sola. Ne ho fatto uno sticker che, purtroppo, uso abbastanza spesso.;
img;photos/Memoria.webp;Cassetto della Memoria;23 marzo 2025;Questo è un tipo di meme 'relatable', cioè che descrive bene situazioni a cui prima o poi andiamo incontro tutti. Non ho nemmeno idea di quante volte abbia vissuto questa scena.;
img;photos/TottiRussia.webp;Daje Mosca;27 marzo 2025;Memegiornale sul lavoro di Francesco Totti (immenso capitano) nella mediazione sul conflitto russo-ucraino. Daje Roma daje!!!;
video;videos/Nek_2.mp4;Lascia che io sia;4 aprile 2025;Da quanto volevo fare questo video... almeno due anni. Devo dire che poi sono stato ben ripagato: 90.000 likes su Instagram! Un successo strepitoso.;
img;photos/Autismo.webp;Autismo;10 aprile 2025;Non sempre si riceve comprensione. Ma questo non vuol dire che non dobbiamo accettarci per quello che siamo, abbracciare la nostra natura e cercare di trovare persone che ci apprezzino e ci facciano stare bene.;
video;videos/AnatraCaffelatte.mp4;Anatra Caffelatte;11 maggio 2025;Notoriamente, mi piacciono le anatre. Questo video particolare, in cui l'anatra sembra annuire convintamente, mi è parso un'ottima base meme.;
img;photos/MattonellaClerici.webp;Mattonella Clerici;15 maggio 2025;La particolarità principale qui è che la texturizzazione delle mattonelle l'ha fatta ChatGPT Plus. Probabilmente sono morti un po' di pesci, ma per i meme qualche sacrificio è sempre necessario.;
img;photos/Samp_yugioh.webp;Mostro Resuscitato;18 maggio 2025;La Samp era appena retrocessa in Serie C sul campo, quando uscì la notizia della penalizzazione del Brescia. Mi immaginai la scena in chiave Yu-Gi-Oh, con un inedito Pegasus tifoso genoano.;
video;videos/DeAndrè.mp4;De Andrè Brainrot;19 maggio 2025;Grande Faber! Sempre avanti. Aveva previsto addirittura il brainrot, descrivendolo in maniera molto precisa. Ovviamente non fu capito dai suoi contemporanei.;
video;videos/RinoGaetano.mp4;Gianna;25 maggio 2025;Ennesimo esempio di sentence mixing scatologico. Colgo l'occasione per ribadire la mia enorme stima nei confronti di Rino Gaetano come artista e come uomo: includerlo nel mio repertorio memetico è un modo di omaggiarlo, rendendo lui stesso un'opera d'arte, proprio come penso gli sarebbe piaciuto.;
video;videos/Brainrot2006.mp4;Brainrot 2006;7 giugno 2025;Come dimenticare il celebre gol di Del Piero che suggellò il 2-0 alla Germania nei mitici Mondiali del 2006? Qui l'ho reimmaginato coi personaggi del brainrot. Immagini ottenute con ChatGPT Plus.;
video;videos/Ghali.mp4;Il prato è verde;12 giugno 2025;Qui c'è un po' dello spirito delle YouTube Poop, e infatti ho postato questo video mettendo il grande Nocoldiz come collaboratore. Che dire, se l'erba del vicino è sempre più verde, possiamo dedurre che tale vicino è senza dubbio Ghali.;
video;videos/Pezzali2.mp4;Castel Di Sangro;18 giugno 2025;Un altro esempio di applicazione memetica di clonazione delle voci con l'AI. Quanti messaggi subliminali ci saranno passati nelle orecchie senza che ce ne rendessimo conto?;
img;photos/Ronaldo_Iuliano.jpg;Ronaldo-Iuliano;4 ottobre 2020;Per il filone 'Pulcini che fanno cose', il celebre scontro fisico tra Mark Iuliano e Ronaldo il Fenomeno durante il derby d'Italia del 26 aprile 1998, non visto (?) dall'arbitro Ceccarini, ma certamente visto da me attraverso gli occhi di Sanpoimo e dei suoi adorabili pulcini.;
video;videos/Gorillaz.mp4;Pulcino in studio di registrazione;4 ottobre 2020;'On a Melanchony Hill' dei Gorillaz è stata una delle colonne musicali portanti della mia adolescenza, e non potevo non omaggiarla con uno dei primi contenuti che creai per 'Pulcini che fanno cose'.;
img;photos/Materazzi_RuiCosta.jpg;Materazzi e Rui Costa;6 ottobre 2020;Pulcini che fanno cose... in questo caso, guardare i fumogeni lanciati dalla curva di San Siro nell'euroderby del 2005.;
img;photos/Me_And_The_Boys.jpg;Me And The Chicks;9 ottobre 2020;Un altro modo di immaginare il template 'Me and the Boys', questa volta coi pulcini di Sanpoimo.;
img;photos/Lundini.jpg;Lundini;14 ottobre 2020;Una citazione di una celebre scena dello show 'Una pezza di Lundini', divenuta virale proprio in quei giorni.;
img;photos/Paint.png;Io alle elementari quando si andava in aula informatica;2 novembre 2020;Direi che il titolo dice tutto. Viva il vecchio Paint, compagno di mille ore di cazzeggio da bambino!!! Il pulcino raffigurato è ispirato a uno sticker di Sanpoimo.;
img;photos/Pordenone.png;The Pordenone Incident;18 marzo 2021;Memegiornale + pulcini: in quei giorni uscì la notizia che a Pordenone un carro armato sbagliò mira, centrando allevamento di galline... RIP.;
video;videos/Freezer.mp4;La trasformazione in Super Pinguino;14 maggio 2021;Realizzato per la pagina 'Pulcini che fanno cose', ricrea la celebre scena di Goku che si trasforma in Super Sayan per la prima volta, mettendo però al centro di tutto il pinguino di Sanpoimo. Come mi è venuto in mente? Non lo so, ma l'ho fatto, e il risultato mi soddisfa molto ancora oggi.;
